epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9253,1.14976,2.77328,1.25538,0.60741,0.90572,0.81478,0.61089,0.85675,2.41935,1.0318,0.000236494,0.000236494,0.000236494
2,41.4761,1.05417,1.40997,1.15595,0.88243,0.8562,0.93479,0.6946,0.91002,1.92406,1.04162,0.000465099,0.000465099,0.000465099
3,57.6293,1.00148,1.24246,1.13258,0.83946,0.94564,0.94801,0.72277,0.91771,1.63582,1.00399,0.000684279,0.000684279,0.000684279
4,73.0259,0.98909,1.10978,1.12291,0.97215,0.94006,0.95657,0.71898,0.86053,1.32256,1.00156,0.000671588,0.000671588,0.000671588
5,92.0338,0.92604,1.02235,1.09532,0.90753,0.8935,0.94746,0.73377,0.91612,1.48784,1.04452,0.000657451,0.000657451,0.000657451
6,113.108,0.92027,0.91303,1.08475,0.95409,0.93663,0.94706,0.69766,0.99836,1.17838,1.1217,0.000643314,0.000643314,0.000643314
7,131.952,0.90336,0.89202,1.08134,0.95217,0.94506,0.95396,0.7312,0.85036,1.10043,0.99958,0.000629177,0.000629177,0.000629177
8,152.478,0.86451,0.83495,1.06912,0.96343,0.91496,0.94687,0.74792,0.74112,1.06796,0.96501,0.00061504,0.00061504,0.00061504
9,171.525,0.86072,0.81118,1.06769,0.89867,0.93157,0.95579,0.75289,0.7225,0.98601,0.9612,0.000600902,0.000600902,0.000600902
10,195.754,0.84137,0.7516,1.06624,0.9616,0.94855,0.95797,0.78583,0.58392,0.76336,0.91085,0.000586765,0.000586765,0.000586765
11,216.674,0.82141,0.71153,1.05034,0.97491,0.93707,0.95827,0.78139,0.65419,0.75169,0.92575,0.000572628,0.000572628,0.000572628
12,236.666,0.81571,0.69554,1.03283,0.96925,0.94048,0.9598,0.81559,0.54015,0.66566,0.8937,0.000558491,0.000558491,0.000558491
13,267.764,0.80668,0.67076,1.03907,0.93646,0.96847,0.96229,0.719,0.91501,0.86393,0.99237,0.000544354,0.000544354,0.000544354
14,298.905,0.79051,0.63918,1.03009,0.96494,0.9447,0.95647,0.80125,0.54858,0.61759,0.88007,0.000530216,0.000530216,0.000530216
15,328.537,0.7695,0.61396,1.0194,0.94368,0.96048,0.95798,0.81101,0.5331,0.57127,0.87914,0.000516079,0.000516079,0.000516079
16,345.903,0.77997,0.623,1.0278,0.97612,0.94306,0.96171,0.79909,0.59722,0.55728,0.89826,0.000501942,0.000501942,0.000501942
17,363.633,0.76334,0.59447,1.02219,0.9841,0.95971,0.9595,0.80974,0.58592,0.57027,0.89629,0.000487805,0.000487805,0.000487805
18,381.087,0.74534,0.57986,1.01473,0.97173,0.94048,0.95729,0.82333,0.54962,0.52323,0.87331,0.000473668,0.000473668,0.000473668
19,411.01,0.74378,0.59936,1.0169,0.98218,0.94303,0.95793,0.82504,0.51158,0.48793,0.87041,0.00045953,0.00045953,0.00045953
20,436.691,0.7422,0.56704,1.01774,0.95239,0.95899,0.96066,0.81792,0.62047,0.54297,0.88914,0.000445393,0.000445393,0.000445393
21,461.394,0.7128,0.53317,0.98935,0.98109,0.94443,0.956,0.81006,0.52046,0.47348,0.86328,0.000431256,0.000431256,0.000431256
22,479.929,0.70089,0.52839,0.996,0.95373,0.96048,0.95924,0.82461,0.49033,0.49001,0.859,0.000417119,0.000417119,0.000417119
